音频文件: 20251205 234222-BF444D4E_part_002.m4a
============================================================
📢 说话人区分结果（使用 SenseVoice 识别）:
------------------------------------------------------------
说话人 0: 记住了，
说话人 0: 下次去上海就用这个，
说话人 2: 这能满足你吗？
说话人 2: 这么细，
说话人 2: 哎哎，
说话人 0: 就用这个，
说话人 2: 这样还伤的，
说话人 2: 你疼了，
说话人 2: 拜拜，
说话人 0: 我没说话啊。
说话人 0: 那你回来，
说话人 0: 我再跟你说吧。
说话人 2: 嗯拜拜，
说话人 0: 你带我去行不行？
说话人 2: 走吧，
说话人 0: 你带着手机去，
说话人 0: 不要亲，
说话人 2: 你不要去了，
说话人 2: 带手机去。
说话人 2: 好，
说话人 2: 亲啊，
说话人 2: 马上回来。
说话人 1: 零秒钟在吗？
说话人 1: 哎，
说话人 2: 在吗在吗在吗？
说话人 2: 啊，
说话人 1: 漂有没有不要这话儿，
说话人 2: 你说啥？
说话人 2: 嗯，
说话人 0: 你说啥，
说话人 2: 你关个门，
说话人 2: 你说吧。
说话人 0: 哎，
说话人 1: 好黑我。
说话人 2: 哎，
说话人 0: 你怎么不给我朋友圈点赞哦，
说话人 2: 忘记了，
说话人 2: 忘记了，
说话人 2: 忘记了，
说话人 0: 那你平时都在给谁点赞，
说话人 2: 平时不给点，
说话人 2: 现在点一下啊，
说话人 0: 你平时都在给谁点赞了，
说话人 1: 告诉我平时就是在给你点赞，
说话人 2: 平时啊经常给别人朋友圈点亮张张嘴就来家人们。
说话人 0: 那我问你，
说话人 0: 如果你不经常给别人朋友圈点赞，
说话人 0: 你又很少跟朋友圈点赞，
说话人 0: 说明你就几乎不点赞呗。
说话人 2: 给你朋友圈点赞不对，
说话人 2: 给你朋友圈点赞已经是很频繁点赞了，
说话人 0: 没听说过，
说话人 0: 你知道吗？
说话人 0: 之前我们在八月七号、
说话人 0: 八月五号之前，
说话人 0: 你给我朋友圈，
说话人 0: 几乎没点过赞。
说话人 0: 真 so 你知道这说明什么？
说话人 2: 你赞不给别人了，
说话人 2: 赞是有限的，
说话人 2: 是吧？
说话人 0: 对，
说话人 0: 还有你知道为什么段丽颖有挺多赞吗？
说话人 2: 嗯，
说话人 0: 我一刚才说点赞立马就去了。
说话人 2: 对这个流程很熟悉很熟悉，
说话人 2: 我有点我有点陌生感，
说话人 2: 轻车熟路。
说话人 2: 对，
说话人 0: 这边经常给别人点赞的，
说话人 0: 但是就是不给我点点了。
说话人 0: 这不是排挤是什么？
说话人 0: 我最讨厌的人排挤了，
说话人 2: 怎么不说，
说话人 2: 怎么不说是给你点赞点的很熟练呢？
说话人 0: 你没给我点过赞之前，
说话人 2: 那我刚才给你点赞点的很熟练吗？
说话人 2: 难道不说明经常给你点赞吗？
说话人 2: 你给别人点赞啊，
说话人 0: 因为你给我点的很少，
说话人 2: 可是给你点赞点朋友圈啊，
说话人 0: 拿方梅条朋友圈什么翻，
说话人 2: 你没条朋友圈，
说话人 0: 方梅条朋友圈，
说话人 0: 看是否有你的点赞。
说话人 0: 有的有的有的有有的熟服百分之几别数啊，
说话人 0: 不数的话，
说话人 0: 不数的话怎么知道啊？
说话人 2: 那么多朋友圈数到什么时候啊？
说话人 0: 就从这个二二年二月开始啊，
说话人 2: 你别开玩笑啊，
说话人 2: 别在这说说到啥时候二二年一月拜拜，
说话人 2: 我先睡一觉起来。
说话人 1: 看你说好没零是一个很圆满的数字，
说话人 2: 可能是满分的意思吧？
说话人 0: 可以可以，
说话人 0: 那就满分的意思，
说话人 2: 满分。
说话人 0: 这是我的小羊啊，
说话人 0: 你不许碰他，
说话人 0: 还我睡觉了，
说话人 0: 想你了，
说话人 0: 这小妖一直在亲我，
说话人 0: 你讨厌这个小妖，
说话人 1: 你在呢在吗？
说话人 0: 我跟你，
说话人 0: 你说今发生的事事吗？
说话人 0: 嗯，
说话人 0: 你知道吗？
说话人 0: 在赶集的时候，
说话人 0: 我我都忘了在什么摊字旁边，
说话人 0: 就是这两边嘛，
说话人 2: 然后这是路嘛，
说话人 2: 这两边。
说话人 0: 然后我在这走着走着靠右走呢，
说话人 0: 突然之间有个小男孩对着这边撒尿，
说话人 0: 他才追追了。
说话人 0: 我当时看到那个水流的时候，
说话人 0: 我以为是那个商家就是冲水。
说话人 0: 我看到站那个小男孩对这个中间撒尿还要被撒到我身上。
说话人 0: 我惊呆了，
说话人 0: 知道他妈妈在旁边没有发现。
说话人 0: 然后但是他应该是刚开始撒，
说话人 0: 然后刚一会儿他妈就发现顺在干嘛，
说话人 0: 然后但是也没让也没制止，
说话人 0: 他也没叫停他，
说话人 0: 像他这样撒了，
说话人 2: 怎么叫停，
说话人 2: 怎么制止上去捏住吗？
说话人 0: 就是朝着里面，
说话人 0: 你知道吗？
说话人 0: 在人来人往的大街上，
说话人 0: 朝着马路中间撒尿。
说话人 2: 嗯，
说话人 2: crazy 啊，
说话人 0: 我我从来没有见过这样的美人监控，
说话人 0: 人生第一次他，
说话人 0: 而且我哥不想看这个小男孩儿小追追嗯，
说话人 2: 告诉他性骚扰，
说话人 0: 我要告他性骚扰，
说话人 0: 我真受不了。
说话人 0: 然后还有就是做到了小时候的一个不知道小时候的一个邻居，
说话人 0: 你记不记得我去？
说话人 0: 有一次我去，
