音频文件: 20251205 234222-BF444D4E_part_000.m4a
============================================================
📢 说话人区分结果（使用 SenseVoice 识别）:
------------------------------------------------------------
说话人 1: 哦，
说话人 1: 那那那那那那那那，
说话人 0: 那那是在吃东西啊。
说话人 1: 哦，
说话人 2: 哈哈，
说话人 2: 因为我都送在家里了，
说话人 2: 回来洗漱完就都没看见。
说话人 1: 嗯，
说话人 2: 哼，
说话人 2: 用英英文过事啦，
说话人 0: 想一吗？
说话人 1: 哼，
说话人 2: 这是英国人吗？
说话人 1: 哎呀，
说话人 1: 英国人写字都很乱，
说话人 2: 这是英国人写作文吗？
说话人 0: 不是啊啊，
说话人 2: 我个姓美毛啊，
说话人 1: 又没有啊，
说话人 1: 我又姓美毛，
说话人 2: 没找回来吗？
说话人 1: 也许涨回来了，
说话人 1: 那你没看到太久没见面了，
说话人 2: 差不多有十多年没见。
说话人 2: 你知道你长什么样子，
说话人 2: 我印象中还停留在你穿那个古装的时候，
说话人 2: 我记得那个照片了，
说话人 1: 我记得记得吗？
说话人 1: 记得我我印象中你还停留在穿那个黑色羽绒服的时候，
说话人 1: 这羽绒服棉服羽绒服谁啊？
说话人 1: 就那个小小小孩啊，
说话人 2: 那谁啊？
说话人 1: 那是啊又在这装失忆呢，
说话人 1: 还是真失忆啊，
说话人 1: 我给你找找啊，
说话人 1: 哪有黑色棉服啊，
说话人 1: 我给你找找吧，
说话人 1: 谁呀？
说话人 2: 我小时候才不会穿那个衣服呢啊，
说话人 1: 不是，
说话人 1: 我记得你说当时你觉得很土，
说话人 2: 后来觉得很很洋气的那个很明显是一个黑白红格子条纹之什么字啊啊呢子吗？
说话人 1: 那我们说的是不是一件衣服，
说话人 1: 说是不是一件衣服，
说话人 1: 我找找吧，
说话人 2: 我给你看我的新衣服。
说话人 1: 嗯，
说话人 1: 我穿着能干死你，
说话人 2: 你猜是哪种吓人，
说话人 0: 你猜我不知道有多少种吓人，
说话人 2: 就是你觉得是哪一种吓人，
说话人 0: 你可以可以先猜一下衣服，
说话人 1: 怎么能吓人呢？
说话人 2: 就很吓人就露完了是吗？
说话人 1: 是这个意思吗？
说话人 2: 我猜是你，
说话人 1: 这我猜是这种啊，
说话人 1: 别的我猜不到，
说话人 1: 怎么能吓人，
说话人 2: 你每天脑子就想这些，
说话人 1: 怎么能吓人啊，
说话人 2: tell me how 可是露完了是吓人啊。
说话人 1: 那谁知道啊？
说话人 0: 嗯，
说话人 1: 我不告诉你啊，
说话人 2: 是一种就是一种就是你看到就是同类相杀的感觉，
说话人 1: 什么同类相杀嗯，
说话人 1: 什么东西？
说话人 1: 你以为有两个人在打架，
说话人 2: 不是我找到了这个格子，
说话人 1: 不是这这这个黑色羽绒服啊，
说话人 1: 棉服，
说话人 2: 这你这是黑色羽绒服吗？
说话人 1: 棉服，
说话人 2: 这是棉服，
说话人 2: 这是黑色吗？
说话人 1: 嗯，
说话人 1: 这不是黑色吗？
说话人 0: 真的绿色啊，
说话人 2: 你到底你倒底绿色，
说话人 1: 你说旁边的人还是你是绿色，
说话人 1: 你是色盲，
说话人 1: 你是不是一直以为自己是绿眼睛啊？
说话人 2: 老铁们，
说话人 2: 这深绿色，
说话人 1: 你可能看实物是深绿色吧，
说话人 1: 这图照片也是深绿色，
说话人 2: 而且还有我说我不愿意穿的那件衣服，
说话人 2: 不是这件衣服啊。
说话人 1: 对对对，
说话人 1: 我那件不是我相起，
说话人 1: 但是这个不就是黑吗吗？
说话人 1: 个这这也不是棉服，
说话人 2: 这不是羽绒服，
说话人 1: 这只是长袖而已，
说话人 1: 看起来很厚，
说话人 2: 反正但是很厚实时候你面穿穿 sweater，
说话人 1: 这不可能是绿色，
说话人 1: 最起码涂上不是绿色。
说话人 2: 那什么不是绿色对吗？
说话人 1: 涂上哦很吓人，
说话人 1: 因为它是跟羊有关系的对男人是看到了吗？
说话人 1: 啊，
说话人 2: 你这是颜值你懂吗吗？
说话人 2: 就是是它不是羊毛，
说话人 2: 但是它这种就是是像小羊的毛一样这样子卷卷的毛啊，
说话人 2: 像不像是把一个小羊的皮剥下来了？
说话人 1: 行，
说话人 2: 你害怕吗？
说话人 1: 害怕他怎么不能入镜啊？
说话人 2: 看到这个衣服第一眼我就想摸一下，
说话人 2: 因我要把你穿在身上好害怕，
说话人 0: 我害怕嗯要要个男朋友什么，
说话人 2: 他好笑，
说话人 2: 你们两个哼，
说话人 1: 他比较好笑。
说话人 2: 他这个扣子的非常设计的非常之卡哇伊服，
说话人 2: 但它是假扣子，
说话人 2: 它其实实际上只有三个，
说话人 2: 但是他这个有六个不是很卡的那种。
说话人 2: 嗯，
说话人 2: 怎么样不知道，
说话人 1: 这不得穿上身，
说话人 1: 才知道看起来挺好。
说话人 2: 我在店里吃过了，
说话人 2: 我觉得挺好看，
说话人 2: 但是我现在不想穿，
说话人 1: 上身也没拍呢。
说话人 1: 在店里感觉光线不是很好，
说话人 2: 我拿手机出来看一下，
说话人 2: 不是很好看，
说话人 2: 就那肉眼看挺好看，
说话人 2: 拍出来就拍着我的脸很丑，
说话人 1: 就这样乱说吧，
说话人 1: 真的，
说话人 2: 然后就没拍，
说话人 0: 就看起来很老白穿上去的效果。
