音频文件: 20251205 234222-BF444D4E_part_005.m4a
============================================================
📢 说话人区分结果（使用 SenseVoice 识别）:
------------------------------------------------------------
说话人 0: 还最喜欢在公司关心自己的女徒弟，
说话人 0: 还有我自己的女上司，
说话人 0: 这个被自己的女上司，
说话人 0: 职场只是被自己的女上司是被自己的女生阻止，
说话人 0: 长期骚扰，
说话人 2: 还有什么还有什么脏水？
说话人 2: 尽管往我身上泼吧，
说话人 0: 还有府里的脏水。
说话人 0: 你看我每次说这个词都就算右边词代替，
说话人 0: 你也要打，
说话人 0: 我自己说就那么轻易淡然。
说话人 2: 我我说的不是那个气吗？
说话人 2: 家人们，
说话人 0: 我说的是服了你，
说话人 2: 可你可以说一个不那么不那么象形吧。
说话人 1: 哎，
说话人 2: 音音音像也不行，
说话人 2: 毫无联想的跟那个好。
说话人 2: 你就说你只能说妹妹别的都不能说，
说话人 0: 哎，
说话人 0: 没有一个铠甲的吧。
说话人 2: 那我睡错了，
说话人 2: 次闹子呀，
说话人 2: 铠雅又怎样？
说话人 1: 我睡错了来吧来。
说话人 0: 然后还有就是假如说你那个逛逛爱逛山姆，
说话人 0: 爱找你逛山姆的、
说话人 0: 好兄弟的，
说话人 0: 有二胎的老婆。
说话人 0: 对你说，
说话人 0: 我觉得你一定也会陪别人老婆逛山墓吧，
说话人 2: 关你屁事，
说话人 2: 关关你屁事。
说话人 2: 我就这么说，
说话人 0: 他带着两个孩子，
说话人 1: 你就这样打他带个孩子怎么了？
说话人 2: 我又没打他孩子。
说话人 0: 这大儿子已经十八岁了，
说话人 0: 雄壮如牛，
说话人 2: 怎么得两拳才能打死亡？
说话人 0: 不是你打他亡了，
说话人 0: 他会他会缓一手动。
说话人 2: so 那话说回来，
说话人 0: 他大儿子都十八岁了，
说话人 0: 你还要陪他去逛超市，
说话人 2: 那就更说明情况的特殊。
说话人 2: 他儿子肯定不在，
说话人 2: 要不然十八岁儿子肯定能陪妈妈逛超市，
说话人 0: 你都说带两个孩子就带在身边，
说话人 2: 是吗？
说话人 0: 你这么就这么说啊，
说话人 0: 现在他带儿子已经十八岁，
说话人 0: 你还要陪他去，
说话人 2: 那岂不是很不正常吗？
说话人 0: 对啊，
说话人 0: 那你凭什么陪他不正常，
说话人 2: 就说明情况更特殊啊。
说话人 2: 他他十八岁儿子可能是个残疾。
说话人 0: 好，
说话人 0: 可以好，
说话人 0: 可以 OK。
说话人 0: 好，
说话人 0: 行好行，
说话人 0: 现在换位思考，
说话人 0: 换过来，
说话人 2: 换换换哪儿。
说话人 0: 我有一个好朋友，
说话人 2: 嗯，
说话人 0: 她有一个老公，
说话人 2: 嗯，
说话人 0: 他们有两个孩子。
说话人 1: 好，
说话人 0: 有一天我朋友出去了，
说话人 0: 她老公说，
说话人 0: 喂，
说话人 0: 在吗？
说话人 0: 有两个孩子怎么带不过来？
说话人 0: 我要下山姆吗？
说话人 0: 连小公山母哎，
说话人 0: 对吗？
说话人 2: 她老公像是个 gay，
说话人 2: 这样的。
说话人 2: 她老公像是个 gay，
说话人 0: 她老公不是喂，
说话人 0: 嗯，
说话人 0: 我老婆不在嗯，
说话人 0: 来陪我逛山姆，
说话人 0: 还想 k 吗？
说话人 2: 不知道他他儿子有什么特殊的，
说话人 0: 我我就不知道了。
说话人 0: 你前面还有特殊情况啊。
说话人 2: 对啊，
说话人 2: 他儿子有没有特殊情况吗？
说话人 2: 问你呢，
说话人 0: 你前面你都已经假设有特殊情况，
说话人 0: 你就说去不去吧，
说话人 0: 有两个小孩他是最有特殊情况，
说话人 2: 是不是？
说话人 0: 他要是跟我乱挪乱说了，
说话人 2: 你去不去不是很重要，
说话人 2: 不是很重要。
说话人 0: 乱说分手分手，
说话人 0: 我一天可以被原谅两次吗？
说话人 2: 够用吗？
说话人 0: 嗯嗯，
说话人 0: 够了，
说话人 1: 嗯，
说话人 0: 没有这么个人，
说话人 0: 我从来不主动跟我朋友的男朋友或者是老公联系他儿子呢。
说话人 0: 我想想，
说话人 0: 目前没有哪个朋友有儿子的，
说话人 0: 目前未来也不会。
说话人 0: 你说我再生出来，
说话人 0: 儿子比我小多少，
说话人 0: 睡醒一醒，
说话人 2: 你介意吗？
说话人 0: 你说呢？
说话人 2: 我怎么知道是你说的不介意我说乱说，
说话人 2: 你为什么要乱说，
说话人 0: 随口就乱说，
说话人 2: 因为为什么随口就要乱说，
说话人 0: 不知道，
说话人 0: 但是没有。
说话人 1: 而且而且其实没有为什么要说我想了想，
说话人 0: 我所有朋友的老，
说话人 2: 谁让你想那个嗯谁让你想那个，
说话人 1: 我说我去那想啥呀，
说话人 2: 想想为啥要说为啥乱说，
说话人 2: 为啥把不住门，
说话人 0: 为啥呀？
说话人 0: 不知道感觉很好玩，
说话人 0: 就说大家很在情绪头上，
说话人 0: 现在在玩这个游戏了，
说话人 2: 我也在玩这个游戏，
说话人 2: 我我怎么不说话，
说话人 0: 你还说你都说出别人一直说只要你跟邻居，
说话人 0: 别人就有特殊情况。
说话人 2: 我说特殊情况，
说话人 2: 我说什么过分的事情告诉我，
说话人 2: 我说什么过分的事情，
说话人 2: 嗯，
说话人 0: 咋办啊，
说话人 2: 咋办咋办？
说话人 0: 我不会跟你去逛山姆超市的，
